relative_displacement_m,Q1_N,Q2_N
4.06628469072447e-9,7.3508528187605364e-6,-7.3508528187605364e-6
4.201827513748619e-9,7.5958812460525545e-6,-7.5958812460525545e-6
4.337370336772768e-9,7.840909673344572e-6,-7.840909673344572e-6
4.472913159796917e-9,8.08593810063659e-6,-8.08593810063659e-6
4.608455982821066e-9,8.330966527928608e-6,-8.330966527928608e-6
4.743998805845215e-9,8.575994955220626e-6,-8.575994955220626e-6
4.879541628869364e-9,8.821023382512644e-6,-8.821023382512644e-6
5.015084451893513e-9,9.066051809804662e-6,-9.066051809804662e-6
5.1506272749176624e-9,9.31108023709668e-6,-9.31108023709668e-6
5.2861700979418115e-9,9.556108664388698e-6,-9.556108664388698e-6
5.4217129209659605e-9,9.801137091680716e-6,-9.801137091680716e-6
5.5572557439901095e-9,1.0046165518972734e-5,-1.0046165518972734e-5
5.6927985670142586e-9,1.029119394626475e-5,-1.029119394626475e-5
5.828341390038408e-9,1.0536222373556769e-5,-1.0536222373556769e-5
5.963884213062557e-9,1.0781250800848787e-5,-1.0781250800848787e-5
6.099427036086706e-9,1.1026279228140805e-5,-1.1026279228140805e-5
6.234969859110855e-9,1.1271307655432823e-5,-1.1271307655432823e-5
6.370512682135004e-9,1.1516336082724841e-5,-1.1516336082724841e-5
6.506055505159153e-9,1.176136451001686e-5,-1.176136451001686e-5
6.641598328183302e-9,1.2006392937308877e-5,-1.2006392937308877e-5
6.777141151207451e-9,1.2251421364600895e-5,-1.2251421364600895e-5
6.9126839742316e-9,1.2496449791892914e-5,-1.2496449791892914e-5
7.048226797255749e-9,1.2741478219184932e-5,-1.2741478219184932e-5
7.183769620279898e-9,1.2986506646476948e-5,-1.2986506646476948e-5
7.319312443304047e-9,1.3231535073768966e-5,-1.3231535073768966e-5
7.454855266328195e-9,1.3476563501060982e-5,-1.3476563501060982e-5
7.590398089352344e-9,1.3721591928353e-5,-1.3721591928353e-5
7.725940912376493e-9,1.3966620355645019e-5,-1.3966620355645019e-5
7.861483735400642e-9,1.4211648782937037e-5,-1.4211648782937037e-5
7.997026558424791e-9,1.4456677210229055e-5,-1.4456677210229055e-5
8.13256938144894e-9,1.4701705637521073e-5,-1.4701705637521073e-5
8.26811220447309e-9,1.4946734064813091e-5,-1.4946734064813091e-5
8.403655027497238e-9,1.5191762492105109e-5,-1.5191762492105109e-5
8.539197850521387e-9,1.5436790919397127e-5,-1.5436790919397127e-5
8.674740673545536e-9,1.5681819346689143e-5,-1.5681819346689143e-5
8.810283496569685e-9,1.5926847773981163e-5,-1.5926847773981163e-5
8.945826319593835e-9,1.617187620127318e-5,-1.617187620127318e-5
9.081369142617984e-9,1.64169046285652e-5,-1.64169046285652e-5
9.216911965642133e-9,1.6661933055857216e-5,-1.6661933055857216e-5
9.352454788666282e-9,1.6906961483149236e-5,-1.6906961483149236e-5
9.48799761169043e-9,1.7151989910441252e-5,-1.7151989910441252e-5
9.62354043471458e-9,1.7397018337733272e-5,-1.7397018337733272e-5
9.759083257738729e-9,1.7642046765025288e-5,-1.7642046765025288e-5
9.894626080762878e-9,1.7887075192317304e-5,-1.7887075192317304e-5
1.0030168903787027e-8,1.8132103619609324e-5,-1.8132103619609324e-5
1.0165711726811176e-8,1.837713204690134e-5,-1.837713204690134e-5
1.0301254549835325e-8,1.862216047419336e-5,-1.862216047419336e-5
1.0436797372859474e-8,1.8867188901485377e-5,-1.8867188901485377e-5
1.0572340195883623e-8,1.9112217328777397e-5,-1.9112217328777397e-5
1.0707883018907772e-8,1.9357245756069413e-5,-1.9357245756069413e-5
1.0843425841931921e-8,1.9602274183361433e-5,-1.9602274183361433e-5
1.097896866495607e-8,1.984730261065345e-5,-1.984730261065345e-5
1.1114511487980219e-8,2.009233103794547e-5,-2.009233103794547e-5
1.1250054311004368e-8,2.0337359465237485e-5,-2.0337359465237485e-5
1.1385597134028517e-8,2.05823878925295e-5,-2.05823878925295e-5
1.1521139957052666e-8,2.082741631982152e-5,-2.082741631982152e-5
